schema,table_name,index_name,indexdef
public,members,members_pkey,CREATE UNIQUE INDEX members_pkey ON public.members USING btree (id)
public,members,uq_members_auth_user_id,CREATE UNIQUE INDEX uq_members_auth_user_id ON public.members USING btree (auth_user_id)
public,notes,notes_pkey,CREATE UNIQUE INDEX notes_pkey ON public.notes USING btree (id)
public,org_balance_history,idx_org_balance_history_date,CREATE INDEX idx_org_balance_history_date ON public.org_balance_history USING btree (balance_date)
public,org_balance_history,org_balance_history_balance_date_key,CREATE UNIQUE INDEX org_balance_history_balance_date_key ON public.org_balance_history USING btree (balance_date)
public,org_balance_history,org_balance_history_pkey,CREATE UNIQUE INDEX org_balance_history_pkey ON public.org_balance_history USING btree (id)
public,org_balance_history,uq_org_balance_history_date_source,"CREATE UNIQUE INDEX uq_org_balance_history_date_source ON public.org_balance_history USING btree (balance_date, source)"
public,org_documents,org_documents_bucket_path_uidx,"CREATE UNIQUE INDEX org_documents_bucket_path_uidx ON public.org_documents USING btree (bucket, path)"
public,org_documents,org_documents_org_id_created_at_idx,"CREATE INDEX org_documents_org_id_created_at_idx ON public.org_documents USING btree (org_id, created_at DESC)"
public,org_documents,org_documents_pkey,CREATE UNIQUE INDEX org_documents_pkey ON public.org_documents USING btree (id)
public,payment_history,idx_payment_history_date,CREATE INDEX idx_payment_history_date ON public.payment_history USING btree (payment_date)
public,payment_history,idx_payment_history_member_id,CREATE INDEX idx_payment_history_member_id ON public.payment_history USING btree (member_id)
public,payment_history,payment_history_pkey,CREATE UNIQUE INDEX payment_history_pkey ON public.payment_history USING btree (id)
public,prices_daily,prices_daily_pkey,"CREATE UNIQUE INDEX prices_daily_pkey ON public.prices_daily USING btree (symbol, date)"
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,ratios_annual,ratios_annual_pkey,"CREATE UNIQUE INDEX ratios_annual_pkey ON public.ratios_annual USING btree (symbol, fiscal_date_ending)"
public,schwab_account_snapshots,idx_schwab_account_snapshots_acct_date,"CREATE INDEX idx_schwab_account_snapshots_acct_date ON public.schwab_account_snapshots USING btree (account_number, snapshot_date)"
public,schwab_account_snapshots,idx_schwab_account_snapshots_date,CREATE INDEX idx_schwab_account_snapshots_date ON public.schwab_account_snapshots USING btree (snapshot_date)
public,schwab_account_snapshots,idx_schwab_account_snapshots_snapshot_date,CREATE INDEX idx_schwab_account_snapshots_snapshot_date ON public.schwab_account_snapshots USING btree (snapshot_date)
public,schwab_account_snapshots,schwab_account_snapshots_pkey,CREATE UNIQUE INDEX schwab_account_snapshots_pkey ON public.schwab_account_snapshots USING btree (id)
public,schwab_account_snapshots,uq_schwab_account_snapshots_account_date,"CREATE UNIQUE INDEX uq_schwab_account_snapshots_account_date ON public.schwab_account_snapshots USING btree (account_id, snapshot_date)"
public,schwab_accounts,schwab_accounts_account_number_key,CREATE UNIQUE INDEX schwab_accounts_account_number_key ON public.schwab_accounts USING btree (account_number)
public,schwab_accounts,schwab_accounts_pkey,CREATE UNIQUE INDEX schwab_accounts_pkey ON public.schwab_accounts USING btree (id)
public,schwab_accounts,uq_schwab_accounts_account_number,CREATE UNIQUE INDEX uq_schwab_accounts_account_number ON public.schwab_accounts USING btree (account_number)
public,schwab_positions,idx_schwab_positions_acct_date,"CREATE INDEX idx_schwab_positions_acct_date ON public.schwab_positions USING btree (account_number, as_of_date DESC)"
public,schwab_positions,idx_schwab_positions_snapshot_date,CREATE INDEX idx_schwab_positions_snapshot_date ON public.schwab_positions USING btree (snapshot_date)
public,schwab_positions,idx_schwab_positions_symbol_date,"CREATE INDEX idx_schwab_positions_symbol_date ON public.schwab_positions USING btree (symbol, snapshot_date)"
public,schwab_positions,schwab_positions_account_symbol_idx,"CREATE INDEX schwab_positions_account_symbol_idx ON public.schwab_positions USING btree (account_number, symbol)"
public,schwab_positions,schwab_positions_balance_date_idx,CREATE INDEX schwab_positions_balance_date_idx ON public.schwab_positions USING btree (balance_date)
public,schwab_positions,schwab_positions_pkey,CREATE UNIQUE INDEX schwab_positions_pkey ON public.schwab_positions USING btree (id)
public,schwab_raw_account_responses,schwab_raw_account_responses_pkey,CREATE UNIQUE INDEX schwab_raw_account_responses_pkey ON public.schwab_raw_account_responses USING btree (id)
public,schwab_tokens,idx_schwab_tokens_received_at,CREATE INDEX idx_schwab_tokens_received_at ON public.schwab_tokens USING btree (received_at DESC)
public,schwab_tokens,idx_schwab_tokens_state,CREATE INDEX idx_schwab_tokens_state ON public.schwab_tokens USING btree (state)
public,schwab_tokens,schwab_tokens_pkey,CREATE UNIQUE INDEX schwab_tokens_pkey ON public.schwab_tokens USING btree (id)
public,security_master,security_master_pkey,CREATE UNIQUE INDEX security_master_pkey ON public.security_master USING btree (symbol)
public,staging_ffa_timeline,staging_ffa_timeline_pkey,CREATE UNIQUE INDEX staging_ffa_timeline_pkey ON public.staging_ffa_timeline USING btree (id)
public,tickers,tickers_pkey,CREATE UNIQUE INDEX tickers_pkey ON public.tickers USING btree (symbol)
public,token_meta,token_meta_pkey,CREATE UNIQUE INDEX token_meta_pkey ON public.token_meta USING btree (address)
public,unit_prices,idx_unit_prices_date,CREATE INDEX idx_unit_prices_date ON public.unit_prices USING btree (price_date)
public,unit_prices,unit_prices_pkey,CREATE UNIQUE INDEX unit_prices_pkey ON public.unit_prices USING btree (id)
public,unit_prices,unit_prices_price_date_key,CREATE UNIQUE INDEX unit_prices_price_date_key ON public.unit_prices USING btree (price_date)
public,user,user_pkey,"CREATE UNIQUE INDEX user_pkey ON public.""user"" USING btree (uid)"
public,watchlist_items,watchlist_items_pkey,"CREATE UNIQUE INDEX watchlist_items_pkey ON public.watchlist_items USING btree (watchlist_id, symbol)"
public,watchlists,watchlists_pkey,CREATE UNIQUE INDEX watchlists_pkey ON public.watchlists USING btree (id)
